"","slug_game","medal_type","name","gender","discipline","event","country_code","country_long"
"20876","paris-2024","gold","LI Fabin","M","Weightlifting","Men's 61kg","CHN","People's Republic of China"
"20877","paris-2024","silver","Theerapong SILACHAI","M","Weightlifting","Men's 61kg","THA","Thailand"
"20878","paris-2024","bronze","Hampton MORRIS","M","Weightlifting","Men's 61kg","USA","United States of America"
"20879","paris-2024","gold","HOU Zhihui","W","Weightlifting","Women's 49kg","CHN","People's Republic of China"
"20880","paris-2024","silver","Mihaela Valentina CAMBEI","W","Weightlifting","Women's 49kg","ROU","Romania"
"20881","paris-2024","bronze","Surodchana KHAMBAO","W","Weightlifting","Women's 49kg","THA","Thailand"
"20882","paris-2024","gold","KUSAKA Nao","M","Wrestling","Men's Greco-Roman 77kg","JPN","Japan"
"20883","paris-2024","silver","Demeu ZHADRAYEV","M","Wrestling","Men's Greco-Roman 77kg","KAZ","Kazakhstan"
"20884","paris-2024","bronze","Malkhas AMOYAN","M","Wrestling","Men's Greco-Roman 77kg","ARM","Armenia"
"20885","paris-2024","bronze","Akzhol MAKHMUDOV","M","Wrestling","Men's Greco-Roman 77kg","KGZ","Kyrgyzstan"
"20886","paris-2024","gold","Mohammadhadi SARAVI","M","Wrestling","Men's Greco-Roman 97kg","IRI","Islamic Republic of Iran"
"20887","paris-2024","silver","Artur ALEKSANYAN","M","Wrestling","Men's Greco-Roman 97kg","ARM","Armenia"
"20888","paris-2024","bronze","Gabriel Alejandro ROSILLO KINDELAN","M","Wrestling","Men's Greco-Roman 97kg","CUB","Cuba"
"20889","paris-2024","bronze","Uzur DZHUZUPBEKOV","M","Wrestling","Men's Greco-Roman 97kg","KGZ","Kyrgyzstan"
"20890","paris-2024","gold","Sarah Ann HILDEBRANDT","W","Wrestling","Women's Freestyle 50kg","USA","United States of America"
